Scalar,Scalar
206.423390,-8.007907
206.464894,-8.007908
206.506399,-8.007909
206.547903,-8.007909
206.589408,-8.007910
206.630912,-8.007911
206.698782,-8.007912
206.766652,-8.007913
206.834522,-8.007914
206.902392,-8.007915
206.970262,-8.007916
207.038132,-8.007917
207.154770,-8.007919
207.271407,-8.007921
207.388045,-8.007923
207.504682,-8.007925
207.621319,-8.007927
207.737957,-8.007929
207.914963,-8.007932
208.091969,-8.007935
208.268976,-8.007938
208.445982,-8.007941
208.622989,-8.007944
208.889393,-8.007948
209.155797,-8.007953
209.422201,-8.007957
209.688605,-8.007962
209.955009,-8.007966
210.303568,-8.007972
210.652127,-8.007978
211.000686,-8.007984
211.349246,-8.007990
211.719985,-8.007996
212.090724,-8.008003
212.461463,-8.008009
212.832856,-8.008015
213.204249,-8.008022
213.575643,-8.008028
213.946969,-8.008034
214.318296,-8.008041
216.415705,-8.008077
218.513115,-8.008114
220.610524,-8.008151
225.856036,-8.008244
231.101548,-8.008339
236.347060,-8.008435
236.435422,-8.008437
236.523784,-8.008439
236.612147,-8.008440
236.700509,-8.008442
236.788871,-8.008444
236.965596,-8.008447
237.142320,-8.008450
237.514464,-8.008457
237.886607,-8.008464
238.258751,-8.008471
239.490711,-8.008494
240.327607,-8.008509
241.164504,-8.008524
242.001400,-8.008539
242.838296,-8.008554
244.367736,-8.008582
245.897175,-8.008609
247.426614,-8.008635
250.294428,-8.008684
253.162243,-8.008732
256.030058,-8.008778
256.746208,-8.008790
